column_name,role,feature_group,expected_source_table,expected_window_start_day,expected_window_end_day_exclusive,uses_post_cutoff_data_expected,actual_window_confirmed_by_m5,leakage_risk,owner_to_confirm,status,notes
household_key,identifier_not_model_feature,id,customer/household id,,,False,False,none_for_training_because_excluded,M4/Data Integration,excluded_from_model,Kept only for mapping predictions back to real households.
churn_flag,target_label,target,customer_base_labeled / churn labeling logic,651.0,711.0,True,False,target_only_not_feature,M1/M4,used_as_label_only,Target may use prediction window; must never be included as feature.
Frequency,model_feature,frequency_activity,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Monetary,model_feature,monetary_value,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Basket_Value_Std,model_feature,monetary_value,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
customer_lifetime,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Recency_Capped,model_feature,recency_inactivity,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Inactive_Days_Ratio,model_feature,recency_inactivity,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
active_weeks_ratio,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
promo_usage_ratio,model_feature,promotion_campaign,coupon/transaction promotion tables before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Avg_Items_Per_Basket,model_feature,monetary_value,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
coupon_dependency,model_feature,promotion_campaign,coupon/transaction promotion tables before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
IPT_mean,model_feature,purchase_cadence,transactions_master before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
IPT_std,model_feature,purchase_cadence,transactions_master before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
IPT_CV,model_feature,purchase_cadence,transactions_master before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Private_Brand_Ratio,model_feature,brand_preference,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Display_Responsiveness,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Mailer_Responsiveness,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Rolling_Freq_Slope,model_feature,frequency_activity,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Primary_Store_ID,model_feature,store_categorical,transaction/store history before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Camp_Count_TypeA,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Camp_Count_TypeB,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Camp_Count_TypeC,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Total_Campaigns_Received,model_feature,promotion_campaign,campaign tables / marketing exposure before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Campaigns_Last_30D,model_feature,promotion_campaign,campaign tables / marketing exposure before cut-off,0.0,651.0,False,False,medium_requires_M4_lineage_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
Days_Since_Last_Camp,model_feature,recency_inactivity,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
has_demographic_info,model_feature,other_behavioral_feature,transactions_master before cut-off,0.0,651.0,False,False,low_to_medium_requires_M4_confirmation,M4 Feature Engineering,needs_M4_confirmation,"M5 expects this feature to be computed strictly before cut-off, but cannot fully prove lineage from the delivered feature table alone."
